empl_ind_construction_%, agri_gross_value_livestock_m$, indstry_bus_trnsprt_pst_wrhsng_cnt, indstry_bus_prof_sci_tech_cnt, vhcl_light_rigid_truck, insolv_tot_debator_entr_bus_rel_per_insolv, agri_meat_chiecken_cnt, agri_broadacre_tot_area, bus_exit_20_plus_emply_cnt, year, vhcl_non_freight_truck, bus_exit_no_emply_cnt, empl_ind_admin_safety_%, fuel_type_diesel, bus_no_emply_cnt, bld_app_priv_dwl_exc_hs_cnt, sel_cause_non_bus_rel_insolv_caused_by_unemploy_loss_income, empl_ind_mnfctrng_%, res_prop_att_dwl_trnsfrs_cnt, indstry_bus_construction_cnt, vhcl_reg_over_10_yrs, vhcl_light_commercial, indstry_bus_mining_cnt, vhcl_heavy_rigid_truck, occ_debtor_service_worker, fuel_type_electric, vhcl_tot, p_t_trdmrk_apps_cnt, indstry_bus_hlth_soc_ass_cnt, indstry_bus_art_rec_cnt, agri_meat_cattle_cnt, empl_ind_admin_supp_%, bld_app_tot_priv_dwl_val_aud, bus_exit_5_19_emply_cnt, indstry_bus_admin_supp_cnt, bld_app_tot_non_res_bld_val_aud, occ_debtor_technician_trade, indstry_bus_retail_trd_cnt, vhcl_reg_less_than_5_yrs, vhcl_campervans, bld_app_tot_priv_dwl_cnt, indstry_bus_financ_insur_cnt, agri_gross_value_agri_production_m$, empl_ind_whlsle_trd_%, indstry_bus_accom_food_cnt, bld_app_priv_hse_cnt, fuel_type_petrol, vhcl_passenger, occ_debtor_professional, indstry_bus_tot_cnt, empl_ind_oth_serv_%, bld_app_priv_hse_val_aud, sel_cause_bus_rel_insolv_caused_by_economic, bld_app_priv_dwl_exc_hs_val_aud, indstry_bus_current_unkwn_cnt, indstry_bus_whlsle_trd_cnt, tourist_accom_over_15_rooms, bus_entr_tot_cnt, agri_area_holding, empl_ind_mining_%, occ_debtor_other_unkwn, empl_ind_edu_train_%, agri_veg_human_consumption, bus_entr_no_emply_cnt, bus_20_plus_emply_cnt, indstry_bus_ag_frst_fsh_cnt, indstry_bus_oth_serv_cnt, p_t_patent_apps_cnt, indstry_bus_rent_rl_est_cnt, indstry_bus_infomedia_telecom_cnt, bus_entr_5_19_emply_cnt, bld_app_tot_res_bld_val_aud, occ_debtor_sales_worker, indstry_bus_mnfctrng_cnt, bus_entr_20_plus_emply_cnt, indstry_bus_edu_train_cnt, agri_gross_value_crops_m$, res_prop_att_dwl_med_sal_prc_aud, empl_ind_hlth_soc_assist_%, agri_fruit_nut_orchard_tree, occ_debtor_machinery_op_driver, vhcl_motorcycles, empl_ind_ag_frst_fsh_%, empl_tot, bus_tot_cnt, agri_dairy_cattle_cnt, occ_debtor_labourer, bld_app_tot_dwl_cnt, empl_ind_prof_sci_tech_cnt_%, agri_sheep_cnt, sa2_main16, bus_5_19_emply_cnt, empl_ind_retail_trd_%, fuel_type_lpg_dual_other, insolv_tot_debator_entr_per_insolv, bus_entr_1_4_emply_cnt, occ_debtor_clerical_admin, empl_ind_trnsprt_pst_wrhsng_%, sel_cause_non_bus_rel_insolv_caused_by_excess_credit_use, empl_ind_elc_gs_wtr_wst_%, res_prop_hse_med_sal_prc_aud, empl_ind_rent_rl_est_%, agri_pig_cnt, vhcl_buses, insolv_tot_debator_entr_non_bus_rel_per_insolv, sa2_name16, bus_exit_tot_cnt, empl_ind_financ_insur_%, indstry_bus_elc_gs_wtr_wst_cnt, bld_app_tot_bld_val_aud, res_prop_hse_trnsfs_cnt, vhcl_reg_5_to_10, bus_1_4_emply_cnt, empl_ind_accom_food_%, empl_ind_art_rec_%, occ_debtor_manager, bus_exit_1_4_emply_cnt, indstry_bus_pub_admin_safety_cnt, vhcl_articulated_truck, empl_ind_infomedia_telecom_%
null,null,46,95,28,null,null,null,null,2016,null,61,null,888,430,102,null,null,null,113,3214,606,null,38,null,null,7205,null,45,9,null,null,25.0,null,28,82.0,null,51,1877,9,116,48,null,null,34,14,6103,6189,null,649,null,5.0,null,20.0,10,26,1,137,null,null,null,null,null,100,8,9,29,null,62,4,3,25.0,null,21,null,14,null,null,null,null,null,216,null,null,649,null,null,116,null,null,"209021205",37,null,228,null,40,null,null,null,null,null,null,null,116,null,"Kingsbury",88,null,3,107.0,null,2117,188,null,null,null,22,null,3,null
null,null,231,140,115,null,null,null,3,2016,11,175,null,1782,994,168,null,null,null,384,9309,1732,null,206,null,7,17104,null,60,18,null,null,55.0,5,89,6.0,null,89,3375,15,263,77,null,null,72,95,14602,14443,null,1480,null,25.0,null,30.0,29,40,null,298,null,null,null,null,null,227,8,8,66,null,88,7,4,56.0,null,45,null,18,null,null,null,null,null,519,null,null,1480,null,null,267,null,null,"209021207",78,null,747,null,64,null,null,null,null,null,null,null,38,null,"Reservoir  East",220,null,3,62.0,null,4405,393,null,null,null,39,10,25,null
null,null,52,158,21,null,null,null,null,2016,3,108,null,622,530,132,null,null,null,109,3910,530,null,36,null,3,7509,null,65,16,null,null,38.0,3,29,null,null,35,1507,4,149,61,null,null,42,17,6613,6557,null,755,null,12.0,null,27.0,16,17,null,122,null,null,null,null,null,97,10,6,29,null,74,19,null,39.0,null,19,null,12,null,null,null,null,null,353,null,null,755,null,null,149,null,null,"206011107",37,null,295,null,24,null,null,null,null,null,null,null,5,null,"Brunswick West",126,null,null,39.0,null,2111,178,null,null,null,13,null,null,null
null,null,87,424,57,null,null,null,3,2016,9,168,null,1582,1312,172,null,null,null,215,6908,1135,null,59,null,10,14596,null,214,93,null,null,91.0,5,55,6.0,null,159,3788,28,210,116,null,null,124,38,12613,12686,null,2027,null,48.0,null,43.0,38,65,null,290,null,null,null,null,null,217,26,15,72,null,179,53,6,94.0,null,71,null,34,null,null,null,null,null,549,null,null,2027,null,null,210,null,null,"206021111",160,null,397,null,66,null,null,null,null,null,null,null,68,null,"Northcote",231,null,5,100.0,null,3889,536,null,null,null,50,11,5,null
null,null,61,116,127,null,null,null,null,2016,5,96,null,2488,517,87,null,null,null,159,4282,1886,null,131,null,5,11929,null,42,16,null,null,32.0,null,36,null,null,42,5180,12,115,61,null,null,35,28,9085,9446,null,746,null,14.0,null,19.0,14,29,1,135,null,null,null,null,null,95,5,4,23,null,62,5,3,34.0,null,20,null,9,null,null,null,null,null,273,null,null,746,null,null,120,null,null,"209021429",39,null,389,null,39,null,null,null,null,null,null,null,43,null,"Preston  West",116,null,3,34.0,null,2473,183,null,null,null,15,3,6,null
null,null,83,248,80,null,null,null,null,2016,10,142,null,1250,993,167,null,null,null,261,5852,1061,null,124,null,4,11196,null,98,47,null,null,58.0,4,62,5.0,null,90,2344,15,204,98,null,null,75,37,9606,9444,null,1509,null,23.0,null,34.0,27,36,1,244,null,null,null,null,null,188,18,5,77,null,167,24,3,59.0,null,66,null,33,null,null,null,null,null,428,null,null,1509,null,null,206,null,null,"206021112",120,null,367,null,52,null,null,null,null,null,null,null,28,null,"Thornbury",190,null,3,64.0,null,3008,384,null,null,null,37,4,6,null
null,null,54,117,63,null,null,null,null,2016,9,71,null,1542,605,17,null,null,null,286,3561,1211,null,171,null,4,7999,null,48,9,null,null,21.0,3,35,null,null,42,2011,18,43,94,null,null,12,26,6183,6042,null,980,null,17.0,null,4.0,10,31,null,121,null,null,null,null,null,91,11,19,43,null,109,11,3,22.0,null,35,null,15,null,null,null,null,null,432,null,null,980,null,null,43,null,null,"209031213",59,null,302,null,34,null,null,null,null,null,null,null,19,null,"Plenty  Yarrambat",98,null,4,22.0,null,2420,305,null,null,null,24,4,34,null
null,null,60,1022,308,null,null,null,14,2016,23,464,null,3254,2989,619,null,null,null,416,3822,1544,11,225,null,20,13279,null,233,67,null,null,195.0,30,228,55.0,null,298,5610,8,627,694,null,null,224,8,9878,10607,null,5014,null,21.0,null,174.0,92,221,3,787,null,null,null,null,null,537,211,52,145,null,850,181,53,198.0,null,112,12,81,null,null,null,null,null,377,null,null,5014,null,null,627,null,null,"206051132",580,null,198,null,188,null,null,null,null,null,null,null,122,null,"South Melbourne",602,null,13,252.0,null,3844,1230,null,null,null,94,21,65,null
null,null,80,215,24,null,null,null,null,2016,6,118,null,984,765,79,null,null,null,168,3885,589,null,35,null,7,9143,null,84,36,null,null,46.0,3,51,1.0,null,74,2389,10,136,93,null,null,45,57,7941,8105,null,1157,null,31.0,null,15.0,18,34,null,199,null,null,null,null,null,159,19,21,38,null,142,15,3,47.0,null,20,null,18,null,null,null,null,null,353,null,null,1157,null,null,136,null,null,"206031113",76,null,222,null,39,null,null,null,null,null,null,null,14,null,"Ascot Vale",146,null,null,47.0,null,2867,298,null,null,null,23,3,7,null
null,null,19,164,39,null,null,null,null,2016,8,77,null,1187,542,null,null,null,null,211,2669,743,null,83,null,4,5853,null,35,24,null,null,7.0,3,34,null,null,36,1414,10,11,102,null,null,17,11,4487,4644,null,856,null,7.0,null,null,13,21,null,97,null,null,null,null,null,73,10,27,18,null,92,4,null,7.0,null,30,null,17,null,null,null,null,null,311,null,null,856,null,null,11,null,null,"209031214",52,null,183,null,25,null,null,null,null,null,null,null,10,null,"Research  North Warrandyte",96,null,3,7.0,null,1765,262,null,null,null,14,4,5,null
